pfamID	pfamName	All mac 387 2507525033	Art ota 110 648943104	Asp cla 11 645666402	Asp fis 181 645666414	Asp fla 337 645666403	Asp fum Af3 638208601	Asp nid A44 640281000	Asp nig 888 640281012	Asp ter NI4 640281008	Bat den JE3 2508501132	Bea bas gee 2506783003	Bip may 481 2509601010	Bip may C55 2509601007	Bla gil SL1 648943101	Bot bot SS1 2508501134	Bot cin 100 645666404	C Glo Mee 2681812918	Can alb SC4 640281004	Can dub CD6 645666405	Can gla 138 638208603	Can tro 344 645666406	Cer soj cos 2506520004	Cha glo 511 645666407	Cla lus 420 648943105	Coc imm RSS 649077309	Coc pos SOp 648943106	Coe rev 154 2509601005	Cop cin 130 645666409	Cry neo 35A 640281005	Cry neo 211 638208604	Deb han CB7 638208605	Ere cym 725 2517287009	Ere gos 105 638208607	Fus gra 11 640281006	Fus oxy 427 2507525031	Gym lux M11 2508501135	His cap NA1 645666401	Hyp sub 44 2508501133	Klu lac 110 638208608	Kom pas GS5 645666419	Lac bic H82 645666410	Lac the 630 645666411	Lod elo 429 645666412	Mag ory 155 640281007	Mal glo 796 643280120	Mey gui 620 645666418	Mon per FA3 645666413	Nad ful 698 2509601002	Nan gyp 113 648943103	Nau cas 439 2517093021	Nau dai 421 2517093020	Nec hae 44 648943107	Neo sp mos 2506783005	Neu cra ORA 640281015	Pap fla C30 2519899516	Par bra Pb1 648943109	Par nod SN5 645666417	Pec rum Ors 2510917007	Pec rum ven 2518645524	Pen chr 125 645666415	Pha chr 788 2507525002	Phy ram Pr4 2507525008	Pod ans mat 645666420	Pos pla RR 645666421	Pyr tri BFP 645666422	Sac cer AW1 643280122	Sac cer AA 2515154002	Sac cer S2C 638208609	Sac cer YJ9 643280124	Sai com 174 2509601003	Sap par 655 2507525037	Sch sti 604 640281010	Sch com 88 2509601012	Sch jap yF5 645666423	Sch pom 97h 638208610	Scl hom AsA 2502545044	Scl scl 700 645666424	Ser lac 99 2509601006	Spi pun BR7 2507525034	Tal mar 184 645666416	Tal sti 100 645666425	Tet pha 447 2517093022	The the 424 2517093045	Thi ter 816 2517093046	Tor del 116 2517093023	Tri ben 111 648943102	Tri ver 057 648943111	Tub mel Me8 648943112	Unc ree 174 648943113	Ust may 521 640281003	Van pol 704 645666426	Ver alb 102 648943114	Yar lip CL2 638208611	Zyg rou 732 645666427
pfam00001	7 transmembrane receptor (rhodopsin family)	4	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	70	0	0	1	2	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	14	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
pfam00002	7 transmembrane receptor (Secretin family)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	10	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	1	0	0	1	0	0	0	0	5	3	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	1	1	0	0	2	0	0
pfam00003	7 transmembrane sweet-taste receptor of 3 GCPR	98	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	81	142	0	0	4	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pfam00004	ATPase family associated with various cellular activities (AAA)	87	41	39	41	45	39	40	47	43	46	53	42	42	46	42	48	5	64	32	36	31	48	45	31	40	37	32	41	32	32	32	32	35	50	54	46	72	50	34	32	38	36	33	50	31	31	30	38	39	36	36	60	29	40	35	38	54	11	39	44	40	50	51	20	46	32	39	33	33	35	59	32	40	31	32	49	41	41	47	49	52	32	40	41	35	37	38	44	38	28	35	34	31	34
pfam00005	ABC transporter	133	48	56	61	79	51	49	64	58	52	133	43	43	38	45	55	20	54	25	25	35	60	41	28	54	35	57	48	33	33	32	21	20	58	79	60	35	50	23	27	45	22	30	51	24	32	33	26	46	29	26	76	154	34	60	29	45	86	115	50	51	171	36	17	41	32	38	31	31	32	114	31	47	15	19	76	46	39	52	58	62	25	38	36	21	40	41	34	33	39	24	51	32	26
pfam00006	"ATP synthase alpha/beta family, nucleotide-binding domain"	11	4	4	4	4	4	5	4	5	4	7	4	4	4	4	4	4	8	4	4	4	9	4	4	6	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	10	4	4	4	4	4	5	4	4	4	4	0	4	4	5	4	4	4	4	4	4	4	4	8	4	4	4	6	5	4	4	4	4	4	4	4	4	4	6	4	4	4
pfam00007	Cystine-knot domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pfam00008	EGF-like domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pfam00009	Elongation factor Tu GTP binding domain	35	15	15	15	17	15	13	15	15	17	15	15	15	15	19	13	5	31	14	14	15	16	15	14	18	15	16	15	13	13	12	10	13	15	15	17	15	17	14	12	16	13	14	15	14	13	8	14	15	16	16	15	13	14	12	15	16	4	7	15	17	19	16	6	13	12	18	16	16	15	17	14	15	16	16	18	15	14	17	15	16	15	15	15	13	15	15	17	15	13	14	13	14	13
pfam00010	Helix-loop-helix DNA-binding domain	25	8	9	10	11	9	12	9	10	9	10	13	13	8	9	9	0	16	9	7	7	12	10	8	50	8	13	10	8	9	7	6	7	16	45	14	6	10	7	9	15	7	7	9	7	8	9	8	8	7	7	12	7	13	5	7	12	5	3	9	11	6	14	8	11	4	7	6	6	8	3	7	12	4	4	8	9	10	12	10	12	7	13	11	6	8	8	8	7	11	7	4	8	6
