geneName	CHR	geneStart	geneEnd	orientation	geneLength	effectorP	signalP	cazym	pfam
SLangusT_00001	Scaffold_1	616	10314	-	9698.0	NO	NO	NO	Repeating coiled region of VPS13_pfam16910;Autophagy-related protein C terminal domain_pfam09333;Vacuolar sorting-associated protein 13, N-terminal_pfam16908;Vacuolar-sorting-associated 13 protein C-terminal_pfam16909;SHR-binding domain of vacuolar-sorting associated protein 13_pfam06650;N-terminal region of Chorein or VPS13_pfam12624
SLangusT_00002	Scaffold_1	11388	12524	+	1136.0	NO	NO	NO	Protein of unknown function (DUF3429)_pfam11911
SLangusT_00003	Scaffold_1	16613	17029	+	416.0	0.815	NO	NO	NO
SLangusT_00004	Scaffold_1	18102	18655	+	553.0	NO	NO	NO	NO
SLangusT_00005	Scaffold_1	19573	21766	+	2193.0	NO	NO	NO	Protein kinase domain_pfam00069
SLangusT_00006	Scaffold_1	22452	24085	-	1633.0	NO	NO	NO	Histidine phosphatase superfamily (branch 1)_pfam00300
SLangusT_00007	Scaffold_1	24661	25257	+	596.0	NO	NO	NO	Protein of unknown function (DUF1168)_pfam06658
SLangusT_00008	Scaffold_1	25491	27407	-	1916.0	NO	NO	NO	TCP-1/cpn60 chaperonin family_pfam00118
SLangusT_00009	Scaffold_1	31439	32674	-	1235.0	NO	NO	NO	Phosphotransferase enzyme family_pfam01636
SLangusT_00010	Scaffold_1	35176	36644	-	1468.0	0.996	NO	NO	NO
SLangusT_00011	Scaffold_1	39263	41440	-	2177.0	NO	NO	NO	Major Facilitator Superfamily_pfam07690
SLangusT_00012	Scaffold_1	43815	45258	-	1443.0	NO	NO	NO	WD domain, G-beta repeat_pfam00400;Sof1-like domain_pfam04158
SLangusT_00013	Scaffold_1	45570	46995	+	1425.0	NO	NO	NO	PCI domain_pfam01399
SLangusT_00014	Scaffold_1	47740	52146	-	4406.0	NO	NO	NO	NO
SLangusT_00015	Scaffold_1	53769	54698	+	929.0	NO	NO	NO	NO
SLangusT_00016	Scaffold_1	55128	55748	-	620.0	1.0	NO	NO	Glutathione-dependent formaldehyde-activating enzyme_pfam04828
SLangusT_00017	Scaffold_1	56155	56495	+	340.0	0.967	NO	NO	NO
SLangusT_00018	Scaffold_1	59694	60216	+	522.0	NO	NO	NO	NO
SLangusT_00019	Scaffold_1	62756	63077	+	321.0	NO	SignalP_EUK	NO	NO
SLangusT_00020	Scaffold_1	64587	65196	+	609.0	0.969	NO	NO	NO
SLangusT_00021	Scaffold_1	68878	69293	-	415.0	NO	NO	NO	NO
SLangusT_00022	Scaffold_1	73301	76669	+	3368.0	NO	NO	NO	C2 domain_pfam00168;Phosphatidylinositol-specific phospholipase C, X domain_pfam00388;Phosphatidylinositol-specific phospholipase C, Y domain_pfam00387
SLangusT_00023	Scaffold_1	78577	80346	-	1769.0	NO	NO	NO	Fungal specific transcription factor domain_pfam11951
SLangusT_00024	Scaffold_1	81490	83456	+	1966.0	NO	NO	NO	Major Facilitator Superfamily_pfam07690
SLangusT_00025	Scaffold_1	84555	86587	-	2032.0	NO	NO	NO	Amino acid permease_pfam00324
